predicate	count
http://www.wikidata.org/prop/direct/P749	17169
http://www.wikidata.org/prop/direct/P463	15988
http://www.wikidata.org/prop/direct/P355	13458
http://www.wikidata.org/prop/direct/P1416	3791
http://www.wikidata.org/prop/direct/P361	2990
http://www.wikidata.org/prop/direct/P159	2049
http://www.wikidata.org/prop/direct/P131	1840
http://www.wikidata.org/prop/direct/P127	1307
http://www.wikidata.org/prop/direct/P8324	1143
http://www.wikidata.org/prop/direct/P527	1080
http://www.wikidata.org/prop/direct/P1889	972
http://www.wikidata.org/prop/direct/P137	797
http://www.wikidata.org/prop/direct/P2652	647
http://www.wikidata.org/prop/direct/P1830	420
http://www.wikidata.org/prop/direct/P5514	417
http://www.wikidata.org/prop/direct/P1891	410
http://www.wikidata.org/prop/direct/P112	347
http://www.wikidata.org/prop/direct/P1365	321
http://www.wikidata.org/prop/direct/P1366	303
http://www.wikidata.org/prop/direct/P859	292
http://www.wikidata.org/prop/direct/P6379	237
http://www.wikidata.org/prop/direct/P47	185
http://www.wikidata.org/prop/direct/P10624	185
http://www.wikidata.org/prop/direct/P276	169
http://www.wikidata.org/prop/direct/P414	168
http://www.wikidata.org/prop/direct/P485	142
http://www.wikidata.org/prop/direct/P140	124
http://www.wikidata.org/prop/direct/P797	106
http://www.wikidata.org/prop/direct/P7888	89
http://www.wikidata.org/prop/direct/P156	87
http://www.wikidata.org/prop/direct/P155	86
http://www.wikidata.org/prop/direct/P1001	81
http://www.wikidata.org/prop/direct/P710	80
http://www.wikidata.org/prop/direct/P807	78
http://www.wikidata.org/prop/direct/P241	71
http://www.wikidata.org/prop/direct/P740	55
http://www.wikidata.org/prop/direct/P126	50
http://www.wikidata.org/prop/direct/P31	47
http://www.wikidata.org/prop/direct/P17	46
http://www.wikidata.org/prop/direct/P138	44
http://www.wikidata.org/prop/direct/P150	33
http://www.wikidata.org/prop/direct/P2541	30
http://www.wikidata.org/prop/direct/P199	29
http://www.wikidata.org/prop/direct/P121	26
http://www.wikidata.org/prop/direct/P190	22
http://www.wikidata.org/prop/direct/P790	19
