subjectROR	subjectLabel	predicate	predicateLabel	objectROR	objectLabel
000063q30	Techniques of Informatics and Microelectronics for Integrated Systems Architecture	P361	part of	02aj0kh94	Joseph Fourier University
000063q30	Techniques of Informatics and Microelectronics for Integrated Systems Architecture	P361	part of	04z22qz54	Institut des Sciences de l'Information et de leurs Interactions
000063q30	Techniques of Informatics and Microelectronics for Integrated Systems Architecture	P361	part of	05sbt2524	Grenoble Institute of Technology
0000h6r91	Naval Group (Ireland)	P361	part of	03rks9355	Naval Group (France)
0000n5x09	Agropolymerpolymer Engineering and Emerging Technologies	P361	part of	03rnk6m14	Institut Agro Montpelier
0000n5x09	Agropolymerpolymer Engineering and Emerging Technologies	P361	part of	051escj72	University of Montpellier
0000n5x09	Agropolymerpolymer Engineering and Emerging Technologies	P361	part of	05kpkpg04	Centre de Coopération Internationale en Recherche Agronomique pour le Développement
0000n5x09	Agropolymerpolymer Engineering and Emerging Technologies	P361	part of	05r332y60	Biochemistry and Plant Molecular Physiology
0000pmw59	Institute of Vertebrate Paleontology and Paleoanthropology	P361	part of	034t30j35	Chinese Academy of Sciences
0001d8q22	Centre d'Etudes sur le Développement des Territoires et Environnement	P361	part of	014zrew76	University of Orléans
0001h1y25	MRC Harwell Institute	P361	part of	03x94j517	Medical Research Council
0001ke483	St George's Hospital	P361	part of	039zedc16	St George’s University Hospitals NHS Foundation Trust
0001w5c47	GMV Innovating Solutions (Spain)	P527	has part(s)	01ajzj063	GMV Innovating Solutions (Poland)
0001w5c47	GMV Innovating Solutions (Spain)	P527	has part(s)	0280gjv27	GMV Innovating Solutions (Portugal)
00029be75	Institute of Biology of Komi Scientific Centre	P361	part of	05qrfxd25	Russian Academy of Sciences
0002cnv45	École Nationale Supérieure des Arts et Industries Textiles	P527	has part(s)	038sy2k93	Laboratoire Génie et Matériaux Textiles
0002exf56	Wetenschappelijk Onderzoek- en Documentatiecentrum	P361	part of	04nzhmg91	Ministry of Security and Justice
0003ccc38	St Monicas Hospital	P361	part of	027e4g787	York Teaching Hospital NHS Foundation Trust
0003ege03	Centre de Recherches sur les Macromolécules Végétales	P361	part of	02cte4b68	Institut de Chimie
0003gmg65	Osaka Gas (United States)	P361	part of	03s6cj295	Osaka Gas (Japan)
0003xeg87	James Martin Center for Nonproliferation Studies	P361	part of	05d1z6q04	Middlebury Institute of International Studies at Monterey
0003zy991	York Hospital	P361	part of	027e4g787	York Teaching Hospital NHS Foundation Trust
0005r2j17	Mediterranean Agronomic Institute of Montpellier	P361	part of	04abkkz03	International Centre for Advanced Mediterranean Agronomic Studies
0005rqp26	Netzsch (United States)	P361	part of	00dmed338	Netzsch (Germany)
000628g58	Tata Sons (India)	P527	has part(s)	001wtjx27	Tata Steel (India)
000628g58	Tata Sons (India)	P527	has part(s)	00b1tsa05	Tata Motors (India)
000628g58	Tata Sons (India)	P527	has part(s)	018m84039	Tata Teleservices (India)
000628g58	Tata Sons (India)	P527	has part(s)	01b9n8m42	Tata Consultancy Services (India)
000628g58	Tata Sons (India)	P527	has part(s)	01x1wr265	Tata Technologies (India)
000628g58	Tata Sons (India)	P527	has part(s)	03b6pnq25	Tata Chemicals (India)
000628g58	Tata Sons (India)	P527	has part(s)	03dyet424	Tata Elxsi (India)
000628g58	Tata Sons (India)	P527	has part(s)	051d61326	Tata Consulting Engineers (Qatar)
000628g58	Tata Sons (India)	P527	has part(s)	05e9s0v14	Tata Power Solar (India)
00067tc54	NSW Department of Planning, Industry and Environment	P361	part of	0067dvq63	Government of New South Wales
0006s4z66	Bureau of Justice Statistics	P361	part of	02916qm60	United States Department of Justice
000714v43	Studsvik (Sweden)	P527	has part(s)	05myb9s25	Studsvik (Germany)
00073tb80	State Key Laboratory of Pollution Control and Resource Reuse	P361	part of	01rxvg760	Nanjing University
00073tb80	State Key Laboratory of Pollution Control and Resource Reuse	P361	part of	03rc6as71	Tongji University
0007cgk43	Ansys (Germany)	P361	part of	05cf5b117	Ansys (United States)
000849h34	Liverpool Heart and Chest Hospital	P361	part of	01je02926	Liverpool Heart and Chest Hospital NHS Trust
000889019	Institute of Nephrology of the National Academy of Medical Sciences of Ukraine	P361	part of	042dnf796	National Academy of Medical Sciences of Ukraine
0008s4w86	Piedmont Atlanta Hospital	P361	part of	04x2tmv91	Piedmont HealthCare
0008wzh48	Royal Marsden NHS Foundation Trust	P527	has part(s)	034vb5t35	Royal Marsden Hospital
0008xqs48	Institut d'Investigació Biomédica de Bellvitge	P361	part of	00epner96	Bellvitge University Hospital
0008xqs48	Institut d'Investigació Biomédica de Bellvitge	P361	part of	00t4w1v80	Hospital de Viladecans
0008xqs48	Institut d'Investigació Biomédica de Bellvitge	P361	part of	01bkbaq61	CERCA Institution
0008xqs48	Institut d'Investigació Biomédica de Bellvitge	P361	part of	01j1eb875	Institut Català d'Oncologia
0008xqs48	Institut d'Investigació Biomédica de Bellvitge	P361	part of	01nv2xf68	Ajuntament de L’Hospitalet
0008xqs48	Institut d'Investigació Biomédica de Bellvitge	P361	part of	021018s57	University of Barcelona
00097mb19	Japan Science and Technology Agency	P527	has part(s)	056cwrs58	Japan Link Center
0009eec40	Laboratoire de Linguistique de Nantes	P361	part of	02feahw73	French National Centre for Scientific Research
0009eec40	Laboratoire de Linguistique de Nantes	P361	part of	03gnr7b55	Nantes Université
0009wsb17	A N Bach Institute of Biochemistry	P361	part of	038rjvd86	Department of Biological Sciences
000b3v524	Southeastern Fruit and Tree Nut Research Laboratory	P361	part of	02pfwxe49	Agricultural Research Service - Southeast Area
000bbyx17	Centre d'Investigation Clinique Plurithématique de Bordeaux	P361	part of	01hq89f96	Centre Hospitalier Universitaire de Bordeaux
000bbyx17	Centre d'Investigation Clinique Plurithématique de Bordeaux	P361	part of	02yw1f353	Institut Bergonié
000bbyx17	Centre d'Investigation Clinique Plurithématique de Bordeaux	P361	part of	057qpr032	University of Bordeaux
000bdn450	Syngenta (United Kingdom)	P361	part of	05fqg8t87	Syngenta (Switzerland)
000bmd472	Kuraray (United States)	P361	part of	05km1vk92	Kuraray (Japan)
000bxzc63	Max Planck Institute for Medical Research	P361	part of	01hhn8329	Max Planck Society
000c39f30	Al Ain Hospital	P527	has part(s)	016bjqk65	Abu Dhabi Health Services
000cnwx98	Norco College	P361	part of	05eca5w86	Riverside Community College District
000cytz87	Weatherford (Switzerland)	P527	has part(s)	00r2mkt64	Weatherford (Norway)
000cytz87	Weatherford (Switzerland)	P527	has part(s)	020h5rq76	Weatherford (United Kingdom)
000cytz87	Weatherford (Switzerland)	P527	has part(s)	03td4yf75	Weatherford (United States)
000d5zy28	Institut de Chimie Radicalaire	P361	part of	02cte4b68	Institut de Chimie
000d5zy28	Institut de Chimie Radicalaire	P361	part of	035xkbk20	Aix-Marseille University
000dbcc61	CEA LIST	P361	part of	02ggzyd20	Direction de la Recherche Technologique
000dfsq72	Office for Learning and Teaching	P361	part of	05nne8c43	Department of Education
000e0be47	Northwestern University	P527	has part(s)	004x7d471	Center for Light Energy Activated Redox Processes
000ed3w25	St Vincent's Hospital Sydney	P527	has part(s)	01b3dvp57	Garvan Institute of Medical Research
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	02en5vm52	Sorbonne University
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	02nwvxz07	École des Ponts ParisTech
