subjectROR	subjectLabel	predicate	predicateLabel	objectROR	objectLabel
02cfy3z22	Open Knowledge Foundation Deutschland	P361	part of	00thqng93	Open Knowledge (United Kingdom)
00byekp78		P361	part of	04276xd64	University of the Azores
04g0eda71		P361	part of	02qsmb048	University of Belgrade
04eg5s337	Mediterranean Universities Union	P527	has part(s)	01wykm490	Omar Al-Mukhtar University
00epner96	Bellvitge University Hospital	P361	part of	021018s57	University of Barcelona
04qer5752	Institute of Archaeology named after A.Kh.Margulan	P361	part of	01rwphz66	National Academy of Sciences of the Republic of Kazakhstan
05bz1tw26	Hospital de Santa Maria	P361	part of	020sr6z07	Centro Hospitalar Lisboa Norte
00gw6hy83	Rotherham General Hospital	P361	part of	02wnqcb97	National Health Service
02ckk6855	Kent Community Health NHS Foundation Trust	P361	part of	02wnqcb97	National Health Service
058awzy03	Scientific Research Institute of Flax Mechanization	P527	has part(s)	0470pce88	Smolensk Scientific Research Institute of Agriculture
00rqfzz65		P361	part of	036h6g940	Government of India
04kcjtk03	Identités et Différenciation de l'Environnement des Espaces et des Sociétés	P361	part of	01k40cz91	Normandie Université
03cs53d16		P527	has part(s)	04d23a975	United States Naval Research Laboratory
018m1s709	Instituto de Agroquímica y Tecnología de Alimentos	P361	part of	043nxc105	University of Valencia
03cej9w90	Wokingham Hospital	P361	part of	02wnqcb97	National Health Service
023yvt917		P527	has part(s)	047yj9455	Barcelona Media
02xesw687	North Manchester General Hospital	P361	part of	02wnqcb97	National Health Service
03pwdyd87	Port d'Informació Científica	P361	part of	052g8jq94	Autonomous University of Barcelona
041qv0h25	Deutsches Archäologisches Institut, Zentrale	P361	part of	01t8rk370	Federal Foreign Office
04t83hz09	Mansfield Community Hospital	P361	part of	02wnqcb97	National Health Service
04h0zjx60	George Institute for Global Health	P361	part of	023331s46	The George Institute for Global Health
0367py538		P361	part of	0251f2x81	White Rose University Consortium
04g8ye561		P527	has part(s)	03jdm4e29	
01j5zzr31	Open Group	P527	has part(s)	038e2g226	Fujitsu (Japan)
05kf27764	Anzac Research Institute	P361	part of	04b0n4406	Concord Repatriation General Hospital
01g4rg913	Rajabhat University System	P527	has part(s)	01rs03g07	Uttaradit Rajabhat University
00xsdn005	Kanazawa University Hospital	P361	part of	02hwp6a56	Kanazawa University
0391qz193	Centro de Ciencias Humanas y Sociales	P527	has part(s)	02bgdk629	Instituto de Lengua Literatura y Antropología
05961na22	Marine Hydrophysical Institute	P361	part of	00je4t102	National Academy of Sciences of Ukraine
03phm3r45	Clinica Universidad de Navarra	P361	part of	02rxc7m23	University of Navarra
03fj5w909	International Laboratory of High Magnetic Fields and Low Temperatures	P361	part of	01dr6c206	Polish Academy of Sciences
02xg1m795	National Institute of Genetics	P361	part of	04p4e8t29	Research Organization of Information and Systems
042j94f44	Marine Technology Unit	P361	part of	02gfc7t72	Spanish National Research Council
02pnm9721	Complejo Hospitalario Universitario de Granada	P361	part of	04njjy449	University of Granada
04ksb3515	NIHR Queen Square Dementia Biomedical Research Unit	P361	part of	02wnqcb97	National Health Service
015zbz228	Space Research Institute	P361	part of	04ev01y75	State Space Agency of Ukraine
00rb4xa96	United Nations Office for Project Services	P361	part of	051777d98	United Nations Development Programme
01fdnyw87	M. Nodia Institute of Geophysics	P361	part of	05fd1hd85	Tbilisi State University
01v7r4v08		P361	part of	05qj6w324	Nationale Forschungsdateninfrastruktur
